question|context|answer|sql_generado
Which artist has the most albums?|CREATE TABLE ALBUM (ArtistId VARCHAR); CREATE TABLE ARTIST (Name VARCHAR, ArtistId VARCHAR)|SELECT T2.Name FROM ALBUM AS T1 JOIN ARTIST AS T2 ON T1.ArtistId = T2.ArtistId GROUP BY T2.Name ORDER BY COUNT(*) DESC LIMIT 1|SELECT ARTIST.Name FROM ARTIST INNER JOIN ALBUM ON ARTIST.ArtistId = ALBUM.ArtistId GROUP BY ARTIST.Name ORDER BY COUNT(ALBUM.ArtistId) DESC LIMIT 1
"Find the names of all the tracks that contain the word ""you""."|CREATE TABLE TRACK (Name VARCHAR)|SELECT Name FROM TRACK WHERE Name LIKE '%you%'|SELECT Name FROM TRACK WHERE Name LIKE '%you%';
What is the average unit price of all the tracks?|CREATE TABLE TRACK (UnitPrice INTEGER)|SELECT AVG(UnitPrice) FROM TRACK|SELECT AVG(UnitPrice) FROM TRACK
What are the durations of the longest and the shortest tracks in milliseconds?|CREATE TABLE TRACK (Milliseconds INTEGER)|SELECT MAX(Milliseconds), MIN(Milliseconds) FROM TRACK|SELECT MAX(Milliseconds), MIN(Milliseconds) FROM TRACK
Show the album names, ids and the number of tracks for each album.|CREATE TABLE ALBUM (Title VARCHAR, AlbumId VARCHAR); CREATE TABLE TRACK (AlbumID VARCHAR, AlbumId VARCHAR)|SELECT T1.Title, T2.AlbumID, COUNT(*) FROM ALBUM AS T1 JOIN TRACK AS T2 ON T1.AlbumId = T2.AlbumId GROUP BY T2.AlbumID|SELECT ALBUM.Title, ALBUM.AlbumId, COUNT(TRACK.TrackId) AS NumberOfTracks FROM ALBUM JOIN TRACK ON ALBUM.AlbumId = TRACK.AlbumId GROUP BY ALBUM.AlbumId, ALBUM.Title
What is the name of the most common genre in all tracks?|CREATE TABLE GENRE (Name VARCHAR, GenreId VARCHAR); CREATE TABLE TRACK (GenreId VARCHAR)|SELECT T1.Name FROM GENRE AS T1 JOIN TRACK AS T2 ON T1.GenreId = T2.GenreId GROUP BY T2.GenreId ORDER BY COUNT(*) DESC LIMIT 1|SELECT g.Name FROM GENRE g JOIN TRACK t ON g.GenreId = t.GenreId GROUP BY g.Name ORDER BY COUNT(*) DESC LIMIT 1;
What is the least common media type in all tracks?|CREATE TABLE MEDIATYPE (Name VARCHAR, MediaTypeId VARCHAR); CREATE TABLE TRACK (MediaTypeId VARCHAR)|SELECT T1.Name FROM MEDIATYPE AS T1 JOIN TRACK AS T2 ON T1.MediaTypeId = T2.MediaTypeId GROUP BY T2.MediaTypeId ORDER BY COUNT(*) LIMIT 1|SELECT Name FROM MEDIATYPE WHERE MediaTypeId IN (SELECT MediaTypeId FROM TRACK GROUP BY MediaTypeId ORDER BY COUNT(*) ASC LIMIT 1)
Show the album names and ids for albums that contain tracks with unit price bigger than 1.|CREATE TABLE ALBUM (Title VARCHAR, AlbumId VARCHAR); CREATE TABLE TRACK (AlbumID VARCHAR, AlbumId VARCHAR, UnitPrice INTEGER)|SELECT T1.Title, T2.AlbumID FROM ALBUM AS T1 JOIN TRACK AS T2 ON T1.AlbumId = T2.AlbumId WHERE T2.UnitPrice > 1 GROUP BY T2.AlbumID|SELECT DISTINCT A.Title, A.AlbumId FROM ALBUM A JOIN TRACK T ON A.AlbumId = T.AlbumId WHERE T.UnitPrice > 1
How many tracks belong to rock genre?|CREATE TABLE TRACK (GenreId VARCHAR); CREATE TABLE GENRE (GenreId VARCHAR, Name VARCHAR)|"SELECT COUNT(*) FROM GENRE AS T1 JOIN TRACK AS T2 ON T1.GenreId = T2.GenreId WHERE T1.Name = ""Rock"""|SELECT count(*) FROM TRACK AS T1 INNER JOIN GENRE AS T2 ON T1.GenreId = T2.GenreId WHERE T2.Name = 'Rock'
What is the average unit price of tracks that belong to Jazz genre?|CREATE TABLE TRACK (GenreId VARCHAR); CREATE TABLE GENRE (GenreId VARCHAR, Name VARCHAR)|"SELECT AVG(UnitPrice) FROM GENRE AS T1 JOIN TRACK AS T2 ON T1.GenreId = T2.GenreId WHERE T1.Name = ""Jazz"""|SELECT AVG(T.UnitPrice) FROM TRACK AS T JOIN GENRE AS G ON T.GenreId = G.GenreId WHERE G.Name = 'Jazz';
"What is the first name and last name of the customer that has email ""luisg@embraer.com.br""?"|CREATE TABLE CUSTOMER (FirstName VARCHAR, LastName VARCHAR, Email VARCHAR)|"SELECT FirstName, LastName FROM CUSTOMER WHERE Email = ""luisg@embraer.com.br"""|SELECT FirstName, LastName FROM CUSTOMER WHERE Email = 'luisg@embraer.com.br';
"How many customers have email that contains ""gmail.com""?"|CREATE TABLE CUSTOMER (Email VARCHAR)|"SELECT COUNT(*) FROM CUSTOMER WHERE Email LIKE ""%gmail.com%"""|SELECT count(*) FROM CUSTOMER WHERE Email LIKE '%gmail.com%';
What is the first name and last name employee helps the customer with first name Leonie?|CREATE TABLE CUSTOMER (SupportRepId VARCHAR, FirstName VARCHAR); CREATE TABLE EMPLOYEE (FirstName VARCHAR, LastName VARCHAR, EmployeeId VARCHAR)|"SELECT T2.FirstName, T2.LastName FROM CUSTOMER AS T1 JOIN EMPLOYEE AS T2 ON T1.SupportRepId = T2.EmployeeId WHERE T1.FirstName = ""Leonie"""|SELECT T1.FirstName, T1.LastName FROM EMPLOYEE AS T1 JOIN CUSTOMER AS T2 ON T1.EmployeeId = T2.SupportRepId WHERE T2.FirstName = 'Leonie'
What city does the employee who helps the customer with postal code 70174 live in?|CREATE TABLE EMPLOYEE (City VARCHAR, EmployeeId VARCHAR); CREATE TABLE CUSTOMER (SupportRepId VARCHAR, PostalCode VARCHAR)|"SELECT T2.City FROM CUSTOMER AS T1 JOIN EMPLOYEE AS T2 ON T1.SupportRepId = T2.EmployeeId WHERE T1.PostalCode = ""70174"""|SELECT T1.City FROM EMPLOYEE AS T1 JOIN CUSTOMER AS T2 ON T1.EmployeeId = T2.SupportRepId WHERE T2.PostalCode = '70174'
How many distinct cities does the employees live in?|CREATE TABLE EMPLOYEE (city VARCHAR)|SELECT COUNT(DISTINCT city) FROM EMPLOYEE|SELECT count(DISTINCT city) FROM EMPLOYEE
Find all invoice dates corresponding to customers with first name Astrid and last name Gruber.|CREATE TABLE CUSTOMER (CustomerId VARCHAR, FirstName VARCHAR); CREATE TABLE INVOICE (InvoiceDate VARCHAR, CustomerId VARCHAR)|"SELECT T2.InvoiceDate FROM CUSTOMER AS T1 JOIN INVOICE AS T2 ON T1.CustomerId = T2.CustomerId WHERE T1.FirstName = ""Astrid"" AND LastName = ""Gruber"""|SELECT T1.InvoiceDate FROM INVOICE AS T1 INNER JOIN CUSTOMER AS T2 ON T1.CustomerId = T2.CustomerId WHERE T2.FirstName = 'Astrid'
Find all the customer last names that do not have invoice totals larger than 20.|CREATE TABLE CUSTOMER (LastName VARCHAR); CREATE TABLE CUSTOMER (LastName VARCHAR, CustomerId VARCHAR); CREATE TABLE Invoice (CustomerId VARCHAR, total INTEGER)|SELECT LastName FROM CUSTOMER EXCEPT SELECT T1.LastName FROM CUSTOMER AS T1 JOIN Invoice AS T2 ON T1.CustomerId = T2.CustomerId WHERE T2.total > 20|SELECT DISTINCT C.LastName FROM CUSTOMER C WHERE NOT EXISTS (SELECT 1 FROM Invoice I WHERE I.CustomerId = C.CustomerId AND I.total > 20)
Find the first names of all customers that live in Brazil and have an invoice.|CREATE TABLE CUSTOMER (FirstName VARCHAR, CustomerId VARCHAR, country VARCHAR); CREATE TABLE INVOICE (CustomerId VARCHAR)|"SELECT DISTINCT T1.FirstName FROM CUSTOMER AS T1 JOIN INVOICE AS T2 ON T1.CustomerId = T2.CustomerId WHERE T1.country = ""Brazil"""|SELECT DISTINCT FirstName FROM CUSTOMER WHERE country = 'Brazil' AND CustomerId IN (SELECT CustomerId FROM INVOICE);
Find the address of all customers that live in Germany and have invoice.|CREATE TABLE INVOICE (CustomerId VARCHAR); CREATE TABLE CUSTOMER (Address VARCHAR, CustomerId VARCHAR, country VARCHAR)|"SELECT DISTINCT T1.Address FROM CUSTOMER AS T1 JOIN INVOICE AS T2 ON T1.CustomerId = T2.CustomerId WHERE T1.country = ""Germany"""|SELECT T1.Address FROM CUSTOMER AS T1 INNER JOIN INVOICE AS T2 ON T1.CustomerId = T2.CustomerId WHERE T1.country = 'Germany'
List the phone numbers of all employees.|CREATE TABLE EMPLOYEE (Phone VARCHAR)|SELECT Phone FROM EMPLOYEE|SELECT Phone FROM EMPLOYEE
How many tracks are in the AAC audio file media type?|CREATE TABLE MEDIATYPE (MediaTypeId VARCHAR, Name VARCHAR); CREATE TABLE TRACK (MediaTypeId VARCHAR)|"SELECT COUNT(*) FROM MEDIATYPE AS T1 JOIN TRACK AS T2 ON T1.MediaTypeId = T2.MediaTypeId WHERE T1.Name = ""AAC audio file"""|SELECT count(*) FROM TRACK AS T1 INNER JOIN MEDIATYPE AS T2 ON T1.MediaTypeId = T2.MediaTypeId WHERE T2.Name = 'AAC audio file';
What is the average duration in milliseconds of tracks that belong to Latin or Pop genre?|CREATE TABLE TRACK (GenreId VARCHAR); CREATE TABLE GENRE (GenreId VARCHAR, Name VARCHAR)|"SELECT AVG(Milliseconds) FROM GENRE AS T1 JOIN TRACK AS T2 ON T1.GenreId = T2.GenreId WHERE T1.Name = ""Latin"" OR T1.Name = ""Pop"""|SELECT AVG(T.Milliseconds) FROM TRACK T JOIN GENRE G ON T.GenreId = G.GenreId WHERE G.Name IN ('Latin', 'Pop')
Please show the employee first names and ids of employees who serve at least 10 customers.|CREATE TABLE CUSTOMER (FirstName VARCHAR, SupportRepId VARCHAR); CREATE TABLE EMPLOYEE (EmployeeId VARCHAR)|SELECT T1.FirstName, T1.SupportRepId FROM CUSTOMER AS T1 JOIN EMPLOYEE AS T2 ON T1.SupportRepId = T2.EmployeeId GROUP BY T1.SupportRepId HAVING COUNT(*) >= 10|SELECT E.FirstName, E.EmployeeId FROM EMPLOYEE E JOIN CUSTOMER C ON E.EmployeeId = C.SupportRepId GROUP BY E.EmployeeId, E.FirstName HAVING COUNT(C.FirstName) >= 10
Please show the employee last names that serves no more than 20 customers.|CREATE TABLE EMPLOYEE (EmployeeId VARCHAR); CREATE TABLE CUSTOMER (LastName VARCHAR, SupportRepId VARCHAR)|SELECT T1.LastName FROM CUSTOMER AS T1 JOIN EMPLOYEE AS T2 ON T1.SupportRepId = T2.EmployeeId GROUP BY T1.SupportRepId HAVING COUNT(*) <= 20|SELECT T2.LastName FROM EMPLOYEE AS T1 INNER JOIN CUSTOMER AS T2 ON T1.EmployeeId = T2.SupportRepId GROUP BY T2.SupportRepId HAVING count(*) <= 20
Please list all album titles in alphabetical order.|CREATE TABLE ALBUM (Title VARCHAR)|SELECT Title FROM ALBUM ORDER BY Title|SELECT Title FROM ALBUM ORDER BY Title ASC
Please list the name and id of all artists that have at least 3 albums in alphabetical order.|CREATE TABLE ARTIST (Name VARCHAR, ArtistID VARCHAR); CREATE TABLE ALBUM (ArtistId VARCHAR)|SELECT T2.Name, T1.ArtistId FROM ALBUM AS T1 JOIN ARTIST AS T2 ON T1.ArtistId = T2.ArtistID GROUP BY T1.ArtistId HAVING COUNT(*) >= 3 ORDER BY T2.Name|SELECT A.Name, A.ArtistID FROM ARTIST A JOIN ALBUM B ON A.ArtistID = B.ArtistId GROUP BY A.ArtistID, A.Name HAVING COUNT(DISTINCT B.ArtistId) >= 3 ORDER BY A.Name
Find the names of artists that do not have any albums.|CREATE TABLE ARTIST (Name VARCHAR); CREATE TABLE ALBUM (ArtistId VARCHAR); CREATE TABLE ARTIST (Name VARCHAR, ArtistId VARCHAR)|SELECT Name FROM ARTIST EXCEPT SELECT T2.Name FROM ALBUM AS T1 JOIN ARTIST AS T2 ON T1.ArtistId = T2.ArtistId|SELECT Name FROM ARTIST EXCEPT SELECT T1.Name FROM ARTIST AS T1 INNER JOIN ALBUM AS T2 ON T1.ArtistId  =  T2.ArtistId
What is the average unit price of rock tracks?|CREATE TABLE GENRE (GenreId VARCHAR, Name VARCHAR); CREATE TABLE TRACK (UnitPrice INTEGER, GenreId VARCHAR)|"SELECT AVG(T2.UnitPrice) FROM GENRE AS T1 JOIN TRACK AS T2 ON T1.GenreId = T2.GenreId WHERE T1.Name = ""Rock"""|SELECT AVG(T1.UnitPrice) FROM TRACK AS T1 INNER JOIN GENRE AS T2 ON T1.GenreId = T2.GenreId WHERE T2.Name = 'Rock'
What are the duration of the longest and shortest pop tracks in milliseconds?|CREATE TABLE TRACK (GenreId VARCHAR); CREATE TABLE GENRE (GenreId VARCHAR, Name VARCHAR)|"SELECT MAX(Milliseconds), MIN(Milliseconds) FROM GENRE AS T1 JOIN TRACK AS T2 ON T1.GenreId = T2.GenreId WHERE T1.Name = ""Pop"""|SELECT MAX(duration_ms), MIN(duration_ms) FROM track WHERE GenreId IN (SELECT GenreId FROM genre WHERE Name = 'Pop')
What are the birth dates of employees living in Edmonton?|CREATE TABLE EMPLOYEE (BirthDate VARCHAR, City VARCHAR)|"SELECT BirthDate FROM EMPLOYEE WHERE City = ""Edmonton"""|SELECT BirthDate FROM EMPLOYEE WHERE City = 'Edmonton'
What are the distinct unit prices of all tracks?|CREATE TABLE TRACK (UnitPrice VARCHAR)|SELECT DISTINCT (UnitPrice) FROM TRACK|SELECT DISTINCT UnitPrice FROM TRACK
How many artists do not have any album?|CREATE TABLE ARTIST (artistid VARCHAR); CREATE TABLE ALBUM (artistid VARCHAR)|SELECT COUNT(*) FROM ARTIST WHERE NOT artistid IN (SELECT artistid FROM ALBUM)|SELECT COUNT(*) FROM ARTIST WHERE NOT EXISTS (SELECT 1 FROM ALBUM WHERE ARTIST.artistid = ALBUM.artistid)
What are the album titles for albums containing both 'Reggae' and 'Rock' genre tracks?|CREATE TABLE Genre (GenreID VARCHAR, Name VARCHAR); CREATE TABLE Track (AlbumId VARCHAR, GenreID VARCHAR); CREATE TABLE Album (Title VARCHAR, AlbumId VARCHAR)|SELECT T1.Title FROM Album AS T1 JOIN Track AS T2 ON T1.AlbumId = T2.AlbumId JOIN Genre AS T3 ON T2.GenreID = T3.GenreID WHERE T3.Name = 'Reggae' INTERSECT SELECT T1.Title FROM Album AS T1 JOIN Track AS T2 ON T1.AlbumId = T2.AlbumId JOIN Genre AS T3 ON T2.GenreID = T3.GenreID WHERE T3.Name = 'Rock'|SELECT DISTINCT a.Title FROM Album AS a JOIN Track AS t ON a.AlbumId = t.AlbumId JOIN Genre AS g ON t.GenreID = g.GenreID WHERE g.Name = 'Reggae' INTERSECT SELECT DISTINCT a.Title FROM Album AS a JOIN Track AS t ON a.AlbumId = t.AlbumId JOIN Genre AS g ON t.GenreID = g.GenreID WHERE g.Name = 'Rock'
Find all the phone numbers.|CREATE TABLE available_policies (customer_phone VARCHAR)|SELECT customer_phone FROM available_policies|SELECT customer_phone FROM available_policies
"What are the customer phone numbers under the policy ""Life Insurance""?"|CREATE TABLE available_policies (customer_phone VARCHAR, policy_type_code VARCHAR)|"SELECT customer_phone FROM available_policies WHERE policy_type_code = ""Life Insurance"""|SELECT customer_phone FROM available_policies WHERE policy_type_code = 'Life Insurance'
Which policy type has the most records in the database?|CREATE TABLE available_policies (policy_type_code VARCHAR)|SELECT policy_type_code FROM available_policies GROUP BY policy_type_code ORDER BY COUNT(*) DESC LIMIT 1|SELECT policy_type_code FROM available_policies GROUP BY policy_type_code ORDER BY COUNT(*) DESC LIMIT 1
What are all the customer phone numbers under the most popular policy type?|CREATE TABLE available_policies (customer_phone VARCHAR, policy_type_code VARCHAR)|SELECT customer_phone FROM available_policies WHERE policy_type_code = (SELECT policy_type_code FROM available_policies GROUP BY policy_type_code ORDER BY COUNT(*) DESC LIMIT 1)|SELECT customer_phone FROM available_policies WHERE policy_type_code = (SELECT policy_type_code FROM available_policies GROUP BY policy_type_code ORDER BY COUNT(*) DESC LIMIT 1)
Find the policy type used by more than 4 customers.|CREATE TABLE available_policies (policy_type_code VARCHAR)|SELECT policy_type_code FROM available_policies GROUP BY policy_type_code HAVING COUNT(*) > 4|SELECT policy_type_code FROM available_policies GROUP BY policy_type_code HAVING COUNT(*) > 4
Find the total and average amount of settlements.|CREATE TABLE settlements (settlement_amount INTEGER)|SELECT SUM(settlement_amount), AVG(settlement_amount) FROM settlements|SELECT SUM(settlement_amount), AVG(settlement_amount) FROM settlements
Find the name of services that have been used for more than 2 times in first notification of loss.|CREATE TABLE services (service_name VARCHAR, service_id VARCHAR); CREATE TABLE first_notification_of_loss (service_id VARCHAR)|SELECT t2.service_name FROM first_notification_of_loss AS t1 JOIN services AS t2 ON t1.service_id = t2.service_id GROUP BY t1.service_id HAVING COUNT(*) > 2|SELECT T1.service_name FROM services AS T1 JOIN first_notification_of_loss AS T2 ON T1.service_id  =  T2.service_id GROUP BY T1.service_name HAVING count(*)  >  2
What is the effective date of the claim that has the largest amount of total settlement?|CREATE TABLE settlements (claim_id VARCHAR, settlement_amount INTEGER); CREATE TABLE claims (Effective_Date VARCHAR, claim_id VARCHAR)|SELECT t1.Effective_Date FROM claims AS t1 JOIN settlements AS t2 ON t1.claim_id = t2.claim_id GROUP BY t1.claim_id ORDER BY SUM(t2.settlement_amount) DESC LIMIT 1|SELECT T1.Effective_Date FROM claims AS T1 JOIN settlements AS T2 ON T1.claim_id = T2.claim_id ORDER BY T2.settlement_amount DESC LIMIT 1
"How many policies are listed for the customer named ""Dayana Robel""?"|CREATE TABLE customers (customer_id VARCHAR, customer_name VARCHAR); CREATE TABLE customers_policies (customer_id VARCHAR)|"SELECT COUNT(*) FROM customers AS t1 JOIN customers_policies AS t2 ON t1.customer_id = t2.customer_id WHERE t1.customer_name = ""Dayana Robel"""|SELECT count(*) FROM customers_policies WHERE customer_id IN (SELECT customer_id FROM customers WHERE customer_name = 'Dayana Robel')
What is the name of the customer who has the most policies listed?|CREATE TABLE customers (customer_name VARCHAR, customer_id VARCHAR); CREATE TABLE customers_policies (customer_id VARCHAR)|SELECT t1.customer_name FROM customers AS t1 JOIN customers_policies AS t2 ON t1.customer_id = t2.customer_id GROUP BY t1.customer_name ORDER BY COUNT(*) DESC LIMIT 1|SELECT c.customer_name FROM customers c JOIN customers_policies cp ON c.customer_id = cp.customer_id GROUP BY c.customer_name ORDER BY COUNT(cp.customer_id) DESC LIMIT 1
"What are all the policy types of the customer named ""Dayana Robel""?"|CREATE TABLE customers (customer_id VARCHAR, customer_name VARCHAR); CREATE TABLE available_policies (policy_type_code VARCHAR, policy_id VARCHAR); CREATE TABLE customers_policies (customer_id VARCHAR, policy_id VARCHAR)|"SELECT DISTINCT t3.policy_type_code FROM customers AS t1 JOIN customers_policies AS t2 ON t1.customer_id = t2.customer_id JOIN available_policies AS t3 ON t2.policy_id = t3.policy_id WHERE t1.customer_name = ""Dayana Robel"""|SELECT DISTINCT ap.policy_type_code FROM customers c JOIN customers_policies cp ON c.customer_id = cp.customer_id JOIN available_policies ap ON cp.policy_id = ap.policy_id WHERE c.customer_name = 'Dayana Robel';
What are all the policy types of the customer that has the most policies listed?|CREATE TABLE customers (customer_id VARCHAR, customer_name VARCHAR); CREATE TABLE available_policies (policy_type_code VARCHAR, policy_id VARCHAR); CREATE TABLE customers_policies (customer_id VARCHAR, policy_id VARCHAR)|SELECT DISTINCT t3.policy_type_code FROM customers AS t1 JOIN customers_policies AS t2 ON t1.customer_id = t2.customer_id JOIN available_policies AS t3 ON t2.policy_id = t3.policy_id WHERE t1.customer_name = (SELECT t1.customer_name FROM customers AS t1 JOIN customers_policies AS t2 ON t1.customer_id = t2.customer_id GROUP BY t1.customer_name ORDER BY COUNT(*) DESC LIMIT 1)|SELECT DISTINCT ap.policy_type_code FROM customers_policies cp JOIN (SELECT customer_id FROM customers_policies GROUP BY customer_id ORDER BY COUNT(*) DESC LIMIT 1) AS max_policy_customer ON cp.customer_id = max_policy_customer.customer_id JOIN available_policies ap ON cp.policy_id = ap.policy_id;
List all the services in the alphabetical order.|CREATE TABLE services (service_name VARCHAR)|SELECT service_name FROM services ORDER BY service_name|SELECT service_name FROM services ORDER BY service_name ASC
How many services are there?|CREATE TABLE services (Id VARCHAR)|SELECT COUNT(*) FROM services|SELECT count(*) FROM services
Find the names of users who do not have a first notification of loss record.|CREATE TABLE first_notification_of_loss (customer_id VARCHAR); CREATE TABLE customers (customer_name VARCHAR, customer_id VARCHAR); CREATE TABLE customers (customer_name VARCHAR)|SELECT customer_name FROM customers EXCEPT SELECT t1.customer_name FROM customers AS t1 JOIN first_notification_of_loss AS t2 ON t1.customer_id = t2.customer_id|SELECT customer_name FROM customers WHERE customer_id NOT IN (SELECT customer_id FROM first_notification_of_loss);
"Find the names of customers who have used either the service ""Close a policy"" or the service ""Upgrade a policy""."|CREATE TABLE first_notification_of_loss (customer_id VARCHAR, service_id VARCHAR); CREATE TABLE customers (customer_name VARCHAR, customer_id VARCHAR); CREATE TABLE services (service_id VARCHAR, service_name VARCHAR)|"SELECT t1.customer_name FROM customers AS t1 JOIN first_notification_of_loss AS t2 ON t1.customer_id = t2.customer_id JOIN services AS t3 ON t2.service_id = t3.service_id WHERE t3.service_name = ""Close a policy"" OR t3.service_name = ""Upgrade a policy"""|SELECT DISTINCT c.customer_name FROM customers c JOIN first_notification_of_loss f ON c.customer_id = f.customer_id JOIN services s ON f.service_id = s.service_id WHERE s.service_name IN ('Close a policy', 'Upgrade a policy')
"Find the names of customers who have used both the service ""Close a policy"" and the service ""New policy application""."|CREATE TABLE first_notification_of_loss (customer_id VARCHAR, service_id VARCHAR); CREATE TABLE customers (customer_name VARCHAR, customer_id VARCHAR); CREATE TABLE services (service_id VARCHAR, service_name VARCHAR)|"SELECT t1.customer_name FROM customers AS t1 JOIN first_notification_of_loss AS t2 ON t1.customer_id = t2.customer_id JOIN services AS t3 ON t2.service_id = t3.service_id WHERE t3.service_name = ""Close a policy"" INTERSECT SELECT t1.customer_name FROM customers AS t1 JOIN first_notification_of_loss AS t2 ON t1.customer_id = t2.customer_id JOIN services AS t3 ON t2.service_id = t3.service_id WHERE t3.service_name = ""New policy application"""|SELECT c.customer_name FROM customers c JOIN first_notification_of_loss fnl ON c.customer_id = fnl.customer_id JOIN services s ON fnl.service_id = s.service_id WHERE s.service_name = 'Close a policy' INTERSECT SELECT c.customer_name FROM customers c JOIN first_notification_of_loss fnl ON c.customer_id = fnl.customer_id JOIN services s ON fnl.service_id = s.service_id WHERE s.service_name = 'New policy application'
"Find the IDs of customers whose name contains ""Diana""."|CREATE TABLE customers (customer_id VARCHAR, customer_name VARCHAR)|"SELECT customer_id FROM customers WHERE customer_name LIKE ""%Diana%"""|SELECT customer_id FROM customers WHERE customer_name LIKE '%Diana%';
What are the maximum and minimum settlement amount on record?|CREATE TABLE settlements (settlement_amount INTEGER)|SELECT MAX(settlement_amount), MIN(settlement_amount) FROM settlements|SELECT MAX(settlement_amount), MIN(settlement_amount) FROM settlements
