question|context|answer|sql_generado
Show the names and ages of editors and the theme of journals for which they serve on committees, in ascending alphabetical order of theme.|CREATE TABLE journal_committee (Editor_ID VARCHAR, Journal_ID VARCHAR); CREATE TABLE editor (Name VARCHAR, age VARCHAR, Editor_ID VARCHAR); CREATE TABLE journal (Theme VARCHAR, Journal_ID VARCHAR)|SELECT T2.Name, T2.age, T3.Theme FROM journal_committee AS T1 JOIN editor AS T2 ON T1.Editor_ID = T2.Editor_ID JOIN journal AS T3 ON T1.Journal_ID = T3.Journal_ID ORDER BY T3.Theme|SELECT T1.Name, T1.age, T3.Theme FROM editor AS T1 JOIN journal_committee AS T2 ON T1.Editor_ID = T2.Editor_ID JOIN journal AS T3 ON T2.Journal_ID = T3.Journal_ID ORDER BY T3.Theme ASC
Show the names of editors that are on the committee of journals with sales bigger than 3000.|CREATE TABLE journal_committee (Editor_ID VARCHAR, Journal_ID VARCHAR); CREATE TABLE editor (Name VARCHAR, Editor_ID VARCHAR); CREATE TABLE journal (Journal_ID VARCHAR, Sales INTEGER)|SELECT T2.Name FROM journal_committee AS T1 JOIN editor AS T2 ON T1.Editor_ID = T2.Editor_ID JOIN journal AS T3 ON T1.Journal_ID = T3.Journal_ID WHERE T3.Sales > 3000|SELECT T1.Name FROM editor AS T1 INNER JOIN journal_committee AS T2 ON T1.Editor_ID = T2.Editor_ID INNER JOIN journal AS T3 ON T2.Journal_ID = T3.Journal_ID WHERE T3.Sales > 3000
Show the id, name of each editor and the number of journal committees they are on.|CREATE TABLE editor (editor_id VARCHAR, Name VARCHAR, Editor_ID VARCHAR); CREATE TABLE journal_committee (Editor_ID VARCHAR)|SELECT T1.editor_id, T1.Name, COUNT(*) FROM editor AS T1 JOIN journal_committee AS T2 ON T1.Editor_ID = T2.Editor_ID GROUP BY T1.editor_id|SELECT T1.editor_id, T1.Name, COUNT(T2.Editor_ID) FROM editor AS T1 LEFT JOIN journal_committee AS T2 ON T1.Editor_ID = T2.Editor_ID GROUP BY T1.editor_id, T1.Name
Show the names of editors that are on at least two journal committees.|CREATE TABLE editor (Name VARCHAR, Editor_ID VARCHAR); CREATE TABLE journal_committee (Editor_ID VARCHAR)|SELECT T1.Name FROM editor AS T1 JOIN journal_committee AS T2 ON T1.Editor_ID = T2.Editor_ID GROUP BY T1.Name HAVING COUNT(*) >= 2|SELECT T1.Name FROM editor AS T1 INNER JOIN journal_committee AS T2 ON T1.Editor_ID = T2.Editor_ID GROUP BY T1.Editor_ID HAVING COUNT(*)  >=  2
List the names of editors that are not on any journal committee.|CREATE TABLE editor (Name VARCHAR, editor_id VARCHAR); CREATE TABLE journal_committee (Name VARCHAR, editor_id VARCHAR)|SELECT Name FROM editor WHERE NOT editor_id IN (SELECT editor_id FROM journal_committee)|SELECT Name FROM editor WHERE editor_id NOT IN (SELECT editor_id FROM journal_committee)
List the date, theme and sales of the journal which did not have any of the listed editors serving on committee.|CREATE TABLE journal_committee (journal_ID VARCHAR); CREATE TABLE journal (date VARCHAR, theme VARCHAR, sales VARCHAR); CREATE TABLE journal (date VARCHAR, theme VARCHAR, sales VARCHAR, journal_ID VARCHAR)|SELECT date, theme, sales FROM journal EXCEPT SELECT T1.date, T1.theme, T1.sales FROM journal AS T1 JOIN journal_committee AS T2 ON T1.journal_ID = T2.journal_ID|SELECT T1.date, T1.theme, T1.sales FROM journal AS T1 LEFT JOIN journal_committee AS T2 ON T1.journal_ID = T2.journal_ID WHERE T2.journal_ID IS NULL
What is the average sales of the journals that have an editor whose work type is 'Photo'?|CREATE TABLE journal_committee (journal_ID VARCHAR, work_type VARCHAR); CREATE TABLE journal (sales INTEGER, journal_ID VARCHAR)|SELECT AVG(T1.sales) FROM journal AS T1 JOIN journal_committee AS T2 ON T1.journal_ID = T2.journal_ID WHERE T2.work_type = 'Photo'|SELECT AVG(T1.sales) FROM journal AS T1 INNER JOIN journal_committee AS T2 ON T1.journal_ID = T2.journal_ID WHERE T2.work_type = 'Photo'
How many accounts do we have?|CREATE TABLE Accounts (Id VARCHAR)|SELECT COUNT(*) FROM Accounts|SELECT COUNT(*) FROM Accounts
Show ids, customer ids, names for all accounts.|CREATE TABLE Accounts (account_id VARCHAR, customer_id VARCHAR, account_name VARCHAR)|SELECT account_id, customer_id, account_name FROM Accounts|SELECT account_id, customer_id, account_name FROM Accounts
Show other account details for account with name 338.|CREATE TABLE Accounts (other_account_details VARCHAR, account_name VARCHAR)|"SELECT other_account_details FROM Accounts WHERE account_name = ""338"""|SELECT other_account_details FROM Accounts WHERE account_name = '338'
What is the first name, last name, and phone of the customer with account name 162?|CREATE TABLE Customers (customer_first_name VARCHAR, customer_last_name VARCHAR, customer_phone VARCHAR, customer_id VARCHAR); CREATE TABLE Accounts (customer_id VARCHAR, account_name VARCHAR)|"SELECT T2.customer_first_name, T2.customer_last_name, T2.customer_phone FROM Accounts AS T1 JOIN Customers AS T2 ON T1.customer_id = T2.customer_id WHERE T1.account_name = ""162"""|SELECT T1.customer_first_name, T1.customer_last_name, T1.customer_phone FROM Customers AS T1 INNER JOIN Accounts AS T2 ON T1.customer_id = T2.customer_id WHERE T2.account_name = '162'
How many accounts does the customer with first name Art and last name Turcotte have?|CREATE TABLE Accounts (customer_id VARCHAR); CREATE TABLE Customers (customer_id VARCHAR, customer_first_name VARCHAR, customer_last_name VARCHAR)|"SELECT COUNT(*) FROM Accounts AS T1 JOIN Customers AS T2 ON T1.customer_id = T2.customer_id WHERE T2.customer_first_name = ""Art"" AND T2.customer_last_name = ""Turcotte"""|SELECT COUNT(T1.customer_id) FROM Accounts AS T1 INNER JOIN Customers AS T2 ON T1.customer_id = T2.customer_id WHERE T2.customer_first_name = 'Art' AND T2.customer_last_name = 'Turcotte'
Show all customer ids and the number of accounts for each customer.|CREATE TABLE Accounts (customer_id VARCHAR)|SELECT customer_id, COUNT(*) FROM Accounts GROUP BY customer_id|SELECT customer_id, COUNT(*) FROM Accounts GROUP BY customer_id
Show the customer id and number of accounts with most accounts.|CREATE TABLE Accounts (customer_id VARCHAR)|SELECT customer_id, COUNT(*) FROM Accounts GROUP BY customer_id ORDER BY COUNT(*) DESC LIMIT 1|SELECT customer_id, COUNT(*) AS num_accounts FROM Accounts GROUP BY customer_id ORDER BY num_accounts DESC LIMIT 1
What is the customer first, last name and id with least number of accounts.|CREATE TABLE Accounts (customer_id VARCHAR); CREATE TABLE Customers (customer_first_name VARCHAR, customer_last_name VARCHAR, customer_id VARCHAR)|SELECT T2.customer_first_name, T2.customer_last_name, T1.customer_id FROM Accounts AS T1 JOIN Customers AS T2 ON T1.customer_id = T2.customer_id GROUP BY T1.customer_id ORDER BY COUNT(*) LIMIT 1|SELECT T2.customer_first_name, T2.customer_last_name, T2.customer_id FROM Accounts AS T1 INNER JOIN Customers AS T2 ON T1.customer_id = T2.customer_id GROUP BY T2.customer_id ORDER BY COUNT(T1.customer_id) ASC LIMIT 1
Show the number of all customers without an account.|CREATE TABLE Customers (customer_id VARCHAR); CREATE TABLE Accounts (customer_id VARCHAR)|SELECT COUNT(*) FROM Customers WHERE NOT customer_id IN (SELECT customer_id FROM Accounts)|SELECT COUNT(customer_id) FROM Customers WHERE customer_id NOT IN (SELECT customer_id FROM Accounts)
Show the first names and last names of customers without any account.|CREATE TABLE Accounts (customer_id VARCHAR); CREATE TABLE Customers (customer_first_name VARCHAR, customer_last_name VARCHAR, customer_id VARCHAR); CREATE TABLE Customers (customer_first_name VARCHAR, customer_last_name VARCHAR)|SELECT customer_first_name, customer_last_name FROM Customers EXCEPT SELECT T1.customer_first_name, T1.customer_last_name FROM Customers AS T1 JOIN Accounts AS T2 ON T1.customer_id = T2.customer_id|SELECT customer_first_name, customer_last_name FROM Customers WHERE customer_id NOT IN (SELECT customer_id FROM Accounts)
Show distinct first and last names for all customers with an account.|CREATE TABLE Accounts (customer_id VARCHAR); CREATE TABLE Customers (customer_first_name VARCHAR, customer_last_name VARCHAR, customer_id VARCHAR)|SELECT DISTINCT T1.customer_first_name, T1.customer_last_name FROM Customers AS T1 JOIN Accounts AS T2 ON T1.customer_id = T2.customer_id|SELECT DISTINCT T2.customer_first_name, T2.customer_last_name FROM Accounts AS T1 INNER JOIN Customers AS T2 ON T1.customer_id = T2.customer_id
How many customers have an account?|CREATE TABLE Accounts (customer_id VARCHAR)|SELECT COUNT(DISTINCT customer_id) FROM Accounts|SELECT COUNT(DISTINCT customer_id) FROM Accounts
How many customers do we have?|CREATE TABLE Customers (Id VARCHAR)|SELECT COUNT(*) FROM Customers|SELECT COUNT(*) FROM Customers
Show ids, first names, last names, and phones for all customers.|CREATE TABLE Customers (customer_id VARCHAR, customer_first_name VARCHAR, customer_last_name VARCHAR, customer_phone VARCHAR)|SELECT customer_id, customer_first_name, customer_last_name, customer_phone FROM Customers|SELECT customer_id, customer_first_name, customer_last_name, customer_phone FROM Customers
What is the phone and email for customer with first name Aniyah and last name Feest?|CREATE TABLE Customers (customer_phone VARCHAR, customer_email VARCHAR, customer_first_name VARCHAR, customer_last_name VARCHAR)|"SELECT customer_phone, customer_email FROM Customers WHERE customer_first_name = ""Aniyah"" AND customer_last_name = ""Feest"""|SELECT customer_phone, customer_email FROM Customers WHERE customer_first_name = 'Aniyah' AND customer_last_name = 'Feest'
Show the number of customer cards.|CREATE TABLE Customers_cards (Id VARCHAR)|SELECT COUNT(*) FROM Customers_cards|SELECT COUNT(*) FROM Customers_cards
Show ids, customer ids, card type codes, card numbers for all cards.|CREATE TABLE Customers_cards (card_id VARCHAR, customer_id VARCHAR, card_type_code VARCHAR, card_number VARCHAR)|SELECT card_id, customer_id, card_type_code, card_number FROM Customers_cards|SELECT card_id, customer_id, card_type_code, card_number FROM Customers_cards
Show the date valid from and the date valid to for the card with card number '4560596484842'.|CREATE TABLE Customers_cards (date_valid_from VARCHAR, date_valid_to VARCHAR, card_number VARCHAR)|"SELECT date_valid_from, date_valid_to FROM Customers_cards WHERE card_number = ""4560596484842"""|SELECT date_valid_from, date_valid_to FROM Customers_cards WHERE card_number = '4560596484842'
What is the first name, last name, and phone of the customer with card 4560596484842.|CREATE TABLE Customers (customer_first_name VARCHAR, customer_last_name VARCHAR, customer_phone VARCHAR, customer_id VARCHAR); CREATE TABLE Customers_cards (customer_id VARCHAR, card_number VARCHAR)|"SELECT T2.customer_first_name, T2.customer_last_name, T2.customer_phone FROM Customers_cards AS T1 JOIN Customers AS T2 ON T1.customer_id = T2.customer_id WHERE T1.card_number = ""4560596484842"""|SELECT T1.customer_first_name, T1.customer_last_name, T1.customer_phone FROM Customers AS T1 INNER JOIN Customers_cards AS T2 ON T1.customer_id = T2.customer_id WHERE T2.card_number = '4560596484842'
How many cards does customer Art Turcotte have?|CREATE TABLE Customers_cards (customer_id VARCHAR); CREATE TABLE Customers (customer_id VARCHAR, customer_first_name VARCHAR, customer_last_name VARCHAR)|"SELECT COUNT(*) FROM Customers_cards AS T1 JOIN Customers AS T2 ON T1.customer_id = T2.customer_id WHERE T2.customer_first_name = ""Art"" AND T2.customer_last_name = ""Turcotte"""|SELECT COUNT(T1.customer_id) FROM Customers_cards AS T1 INNER JOIN Customers AS T2 ON T1.customer_id = T2.customer_id WHERE T2.customer_first_name = 'Art' AND T2.customer_last_name = 'Turcotte'
How many debit cards do we have?|CREATE TABLE Customers_cards (card_type_code VARCHAR)|"SELECT COUNT(*) FROM Customers_cards WHERE card_type_code = ""Debit"""|SELECT COUNT(*) FROM Customers_cards WHERE card_type_code = 'debit'
How many credit cards does customer Blanche Huels have?|CREATE TABLE Customers_cards (customer_id VARCHAR, card_type_code VARCHAR); CREATE TABLE Customers (customer_id VARCHAR, customer_first_name VARCHAR, customer_last_name VARCHAR)|"SELECT COUNT(*) FROM Customers_cards AS T1 JOIN Customers AS T2 ON T1.customer_id = T2.customer_id WHERE T2.customer_first_name = ""Blanche"" AND T2.customer_last_name = ""Huels"" AND T1.card_type_code = ""Credit"""|SELECT COUNT(T1.card_type_code) FROM Customers_cards AS T1 INNER JOIN Customers AS T2 ON T1.customer_id = T2.customer_id WHERE T2.customer_first_name = 'Blanche' AND T2.customer_last_name = 'Huels'
Show all customer ids and the number of cards owned by each customer.|CREATE TABLE Customers_cards (customer_id VARCHAR)|SELECT customer_id, COUNT(*) FROM Customers_cards GROUP BY customer_id|SELECT customer_id, COUNT(*) FROM Customers_cards GROUP BY customer_id
What is the customer id with most number of cards, and how many does he have?|CREATE TABLE Customers_cards (customer_id VARCHAR)|SELECT customer_id, COUNT(*) FROM Customers_cards GROUP BY customer_id ORDER BY COUNT(*) DESC LIMIT 1|SELECT customer_id, COUNT(*) AS num_cards FROM Customers_cards GROUP BY customer_id ORDER BY COUNT(*) DESC LIMIT 1
Show id, first and last names for all customers with at least two cards.|CREATE TABLE Customers_cards (customer_id VARCHAR); CREATE TABLE Customers (customer_first_name VARCHAR, customer_last_name VARCHAR, customer_id VARCHAR)|SELECT T1.customer_id, T2.customer_first_name, T2.customer_last_name FROM Customers_cards AS T1 JOIN Customers AS T2 ON T1.customer_id = T2.customer_id GROUP BY T1.customer_id HAVING COUNT(*) >= 2|SELECT T1.customer_id, customer_first_name, customer_last_name FROM Customers AS T1 INNER JOIN Customers_cards AS T2 ON T1.customer_id = T2.customer_id GROUP BY T1.customer_id, customer_first_name, customer_last_name HAVING COUNT(T2.customer_id) >= 2
What is the customer id, first and last name with least number of accounts.|CREATE TABLE Customers_cards (customer_id VARCHAR); CREATE TABLE Customers (customer_first_name VARCHAR, customer_last_name VARCHAR, customer_id VARCHAR)|SELECT T1.customer_id, T2.customer_first_name, T2.customer_last_name FROM Customers_cards AS T1 JOIN Customers AS T2 ON T1.customer_id = T2.customer_id GROUP BY T1.customer_id ORDER BY COUNT(*) LIMIT 1|SELECT T1.customer_id, customer_first_name, customer_last_name FROM Customers AS T1 INNER JOIN Customers_cards AS T2 ON T1.customer_id = T2.customer_id GROUP BY T1.customer_id, customer_first_name, customer_last_name ORDER BY COUNT(T2.customer_id) ASC LIMIT 1
Show all card type codes and the number of cards in each type.|CREATE TABLE Customers_cards (card_type_code VARCHAR)|SELECT card_type_code, COUNT(*) FROM Customers_cards GROUP BY card_type_code|SELECT card_type_code, COUNT(*) FROM Customers_cards GROUP BY card_type_code
What is the card type code with most number of cards?|CREATE TABLE Customers_cards (card_type_code VARCHAR)|SELECT card_type_code FROM Customers_cards GROUP BY card_type_code ORDER BY COUNT(*) DESC LIMIT 1|SELECT card_type_code FROM Customers_cards GROUP BY card_type_code ORDER BY COUNT(*) DESC LIMIT 1
Show card type codes with at least 5 cards.|CREATE TABLE Customers_cards (card_type_code VARCHAR)|SELECT card_type_code FROM Customers_cards GROUP BY card_type_code HAVING COUNT(*) >= 5|SELECT card_type_code FROM Customers_cards GROUP BY card_type_code HAVING COUNT(*) >= 5
Show all card type codes and the number of customers holding cards in each type.|CREATE TABLE Customers_cards (card_type_code VARCHAR, customer_id VARCHAR)|SELECT card_type_code, COUNT(DISTINCT customer_id) FROM Customers_cards GROUP BY card_type_code|SELECT card_type_code, COUNT(customer_id) FROM Customers_cards GROUP BY card_type_code
Show the customer ids and firstname without a credit card.|CREATE TABLE Customers_cards (customer_id VARCHAR); CREATE TABLE Customers (customer_first_name VARCHAR, customer_id VARCHAR); CREATE TABLE Customers (customer_id VARCHAR, customer_first_name VARCHAR, card_type_code VARCHAR)|"SELECT customer_id, customer_first_name FROM Customers EXCEPT SELECT T1.customer_id, T2.customer_first_name FROM Customers_cards AS T1 JOIN Customers AS T2 ON T1.customer_id = T2.customer_id WHERE card_type_code = ""Credit"""|SELECT T1.customer_id, T1.customer_first_name FROM Customers AS T1 LEFT JOIN Customers_cards AS T2 ON T1.customer_id = T2.customer_id WHERE T2.customer_id IS NULL
Show all card type codes.|CREATE TABLE Customers_Cards (card_type_code VARCHAR)|SELECT DISTINCT card_type_code FROM Customers_Cards|SELECT card_type_code FROM Customers_Cards
Show the number of card types.|CREATE TABLE Customers_Cards (card_type_code VARCHAR)|SELECT COUNT(DISTINCT card_type_code) FROM Customers_Cards|SELECT COUNT(DISTINCT card_type_code) FROM Customers_Cards
Show all transaction types.|CREATE TABLE Financial_Transactions (transaction_type VARCHAR)|SELECT DISTINCT transaction_type FROM Financial_Transactions|SELECT DISTINCT transaction_type FROM Financial_Transactions
Show the number of transaction types.|CREATE TABLE Financial_Transactions (transaction_type VARCHAR)|SELECT COUNT(DISTINCT transaction_type) FROM Financial_Transactions|SELECT COUNT(DISTINCT transaction_type) FROM Financial_Transactions
What is the average and total transaction amount?|CREATE TABLE Financial_transactions (transaction_amount INTEGER)|SELECT AVG(transaction_amount), SUM(transaction_amount) FROM Financial_transactions|SELECT AVG(transaction_amount), SUM(transaction_amount) FROM Financial_transactions
Show the card type codes and the number of transactions.|CREATE TABLE Financial_transactions (card_id VARCHAR); CREATE TABLE Customers_cards (card_type_code VARCHAR, card_id VARCHAR)|SELECT T2.card_type_code, COUNT(*) FROM Financial_transactions AS T1 JOIN Customers_cards AS T2 ON T1.card_id = T2.card_id GROUP BY T2.card_type_code|SELECT T2.card_type_code, COUNT(T1.card_id) FROM Financial_transactions AS T1 INNER JOIN Customers_cards AS T2 ON T1.card_id = T2.card_id GROUP BY T2.card_type_code
Show the transaction type and the number of transactions.|CREATE TABLE Financial_transactions (transaction_type VARCHAR)|SELECT transaction_type, COUNT(*) FROM Financial_transactions GROUP BY transaction_type|SELECT transaction_type, COUNT(*) FROM Financial_transactions GROUP BY transaction_type
What is the transaction type that has processed the greatest total amount in transactions?|CREATE TABLE Financial_transactions (transaction_type VARCHAR, transaction_amount INTEGER)|SELECT transaction_type FROM Financial_transactions GROUP BY transaction_type ORDER BY SUM(transaction_amount) DESC LIMIT 1|SELECT transaction_type FROM Financial_transactions GROUP BY transaction_type ORDER BY SUM(transaction_amount) DESC LIMIT 1
Show the account id and the number of transactions for each account|CREATE TABLE Financial_transactions (account_id VARCHAR)|SELECT account_id, COUNT(*) FROM Financial_transactions GROUP BY account_id|SELECT account_id, COUNT(*) FROM Financial_transactions GROUP BY account_id
How many tracks do we have?|CREATE TABLE track (Id VARCHAR)|SELECT COUNT(*) FROM track|SELECT COUNT(*) FROM track
Show the name and location for all tracks.|CREATE TABLE track (name VARCHAR, LOCATION VARCHAR)|SELECT name, LOCATION FROM track|SELECT name, LOCATION FROM track
Show names and seatings, ordered by seating for all tracks opened after 2000.|CREATE TABLE track (name VARCHAR, seating VARCHAR, year_opened INTEGER)|SELECT name, seating FROM track WHERE year_opened > 2000 ORDER BY seating|SELECT name, seating FROM track WHERE year_opened > 2000 ORDER BY seating
What is the name, location and seating for the most recently opened track?|CREATE TABLE track (name VARCHAR, LOCATION VARCHAR, seating VARCHAR, year_opened VARCHAR)|SELECT name, LOCATION, seating FROM track ORDER BY year_opened DESC LIMIT 1|SELECT name, LOCATION, seating FROM track ORDER BY year_opened DESC LIMIT 1
What is the minimum, maximum, and average seating for all tracks.|CREATE TABLE track (seating INTEGER)|SELECT MIN(seating), MAX(seating), AVG(seating) FROM track|SELECT MIN(seating), MAX(seating), AVG(seating) FROM track
Show the name, location, open year for all tracks with a seating higher than the average.|CREATE TABLE track (name VARCHAR, LOCATION VARCHAR, year_opened VARCHAR, seating INTEGER)|SELECT name, LOCATION, year_opened FROM track WHERE seating > (SELECT AVG(seating) FROM track)|SELECT name, LOCATION, year_opened FROM track WHERE seating > (SELECT AVG(seating) FROM track)
What are distinct locations where tracks are located?|CREATE TABLE track (LOCATION VARCHAR)|SELECT DISTINCT LOCATION FROM track|SELECT DISTINCT LOCATION FROM track
How many races are there?|CREATE TABLE race (Id VARCHAR)|SELECT COUNT(*) FROM race|SELECT COUNT(*) FROM race
What are the distinct classes that races can have?|CREATE TABLE race (CLASS VARCHAR)|SELECT DISTINCT CLASS FROM race|SELECT DISTINCT CLASS FROM race
Show name, class, and date for all races.|CREATE TABLE race (name VARCHAR, CLASS VARCHAR, date VARCHAR)|SELECT name, CLASS, date FROM race|SELECT name, CLASS, date FROM race
Show the race class and number of races in each class.|CREATE TABLE race (CLASS VARCHAR)|SELECT CLASS, COUNT(*) FROM race GROUP BY CLASS|SELECT CLASS, COUNT(*) FROM race GROUP BY CLASS
What is the race class with most number of races.|CREATE TABLE race (CLASS VARCHAR)|SELECT CLASS FROM race GROUP BY CLASS ORDER BY COUNT(*) DESC LIMIT 1|SELECT CLASS FROM race GROUP BY CLASS ORDER BY COUNT(*) DESC LIMIT 1
List the race class with at least two races.|CREATE TABLE race (CLASS VARCHAR)|SELECT CLASS FROM race GROUP BY CLASS HAVING COUNT(*) >= 2|SELECT CLASS FROM race GROUP BY CLASS HAVING COUNT(*) >= 2
What are the names for tracks without a race in class 'GT'.|CREATE TABLE race (track_id VARCHAR, class VARCHAR); CREATE TABLE track (name VARCHAR); CREATE TABLE track (name VARCHAR, track_id VARCHAR)|SELECT name FROM track EXCEPT SELECT T2.name FROM race AS T1 JOIN track AS T2 ON T1.track_id = T2.track_id WHERE T1.class = 'GT'|SELECT name FROM track WHERE track_id NOT IN (SELECT track_id FROM race WHERE class = 'GT')
Show all track names that have had no races.|CREATE TABLE track (name VARCHAR, track_id VARCHAR); CREATE TABLE race (name VARCHAR, track_id VARCHAR)|SELECT name FROM track WHERE NOT track_id IN (SELECT track_id FROM race)|SELECT name FROM track WHERE track_id NOT IN (SELECT track_id FROM race)
Show year where a track with a seating at least 5000 opened and a track with seating no more than 4000 opened.|CREATE TABLE track (year_opened VARCHAR, seating INTEGER)|SELECT year_opened FROM track WHERE seating BETWEEN 4000 AND 5000|SELECT year_opened FROM track WHERE seating >= 5000 INTERSECT SELECT year_opened FROM track WHERE seating <= 4000
