question|context|answer|sql_generado
List the states where both the secretary of 'Treasury' department and the secretary of 'Homeland Security' were born.|CREATE TABLE management (department_id VARCHAR, head_id VARCHAR); CREATE TABLE head (born_state VARCHAR, head_id VARCHAR); CREATE TABLE department (department_id VARCHAR, name VARCHAR)|SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id = T2.department_id JOIN head AS T3 ON T2.head_id = T3.head_id WHERE T1.name = 'Treasury' INTERSECT SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id = T2.department_id JOIN head AS T3 ON T2.head_id = T3.head_id WHERE T1.name = 'Homeland Security'|SELECT T2.born_state FROM department AS T1 JOIN management AS T3 ON T1.department_id = T3.department_id JOIN head AS T2 ON T3.head_id = T2.head_id WHERE T1.name = 'Treasury' INTERSECT SELECT T2.born_state FROM department AS T1 JOIN management AS T3 ON T1.department_id = T3.department_id JOIN head AS T2 ON T3.head_id = T2.head_id WHERE T1.name = 'Homeland Security'
Which department has more than 1 head at a time? List the id, name and the number of heads.|CREATE TABLE management (department_id VARCHAR); CREATE TABLE department (department_id VARCHAR, name VARCHAR)|SELECT T1.department_id, T1.name, COUNT(*) FROM management AS T2 JOIN department AS T1 ON T1.department_id = T2.department_id GROUP BY T1.department_id HAVING COUNT(*) > 1|SELECT T1.department_id, T2.name, COUNT(*) FROM management AS T1 JOIN department AS T2 ON T1.department_id = T2.department_id GROUP BY T1.department_id, T2.name HAVING COUNT(*) > 1
Which head's name has the substring 'Ha'? List the id and name.|CREATE TABLE head (head_id VARCHAR, name VARCHAR)|SELECT head_id, name FROM head WHERE name LIKE '%Ha%'|SELECT head_id, name FROM head WHERE name LIKE '%Ha%'
How many farms are there?|CREATE TABLE farm (Id VARCHAR)|SELECT COUNT(*) FROM farm|SELECT COUNT(*) FROM farm
List the total number of horses on farms in ascending order.|CREATE TABLE farm (Total_Horses VARCHAR)|SELECT Total_Horses FROM farm ORDER BY Total_Horses|SELECT Total_Horses FROM farm ORDER BY Total_Horses ASC
"What are the hosts of competitions whose theme is not ""Aliens""?"|CREATE TABLE farm_competition (Hosts VARCHAR, Theme VARCHAR)|SELECT Hosts FROM farm_competition WHERE Theme <> 'Aliens'|SELECT Hosts FROM farm_competition WHERE Theme <> 'Aliens'
What are the themes of farm competitions sorted by year in ascending order?|CREATE TABLE farm_competition (Theme VARCHAR, YEAR VARCHAR)|SELECT Theme FROM farm_competition ORDER BY YEAR|SELECT Theme FROM farm_competition ORDER BY YEAR ASC
What is the average number of working horses of farms with more than 5000 total number of horses?|CREATE TABLE farm (Working_Horses INTEGER, Total_Horses INTEGER)|SELECT AVG(Working_Horses) FROM farm WHERE Total_Horses > 5000|SELECT AVG(Working_Horses) FROM farm WHERE Total_Horses > 5000
What are the maximum and minimum number of cows across all farms.|CREATE TABLE farm (Cows INTEGER)|SELECT MAX(Cows), MIN(Cows) FROM farm|SELECT MAX(Cows), MIN(Cows) FROM farm
How many different statuses do cities have?|CREATE TABLE city (Status VARCHAR)|SELECT COUNT(DISTINCT Status) FROM city|SELECT COUNT(DISTINCT Status) FROM city
List official names of cities in descending order of population.|CREATE TABLE city (Official_Name VARCHAR, Population VARCHAR)|SELECT Official_Name FROM city ORDER BY Population DESC|SELECT Official_Name FROM city ORDER BY Population DESC
List the official name and status of the city with the largest population.|CREATE TABLE city (Official_Name VARCHAR, Status VARCHAR, Population VARCHAR)|SELECT Official_Name, Status FROM city ORDER BY Population DESC LIMIT 1|SELECT Official_Name, Status FROM city ORDER BY CAST(REPLACE(Population, ',', '') AS UNSIGNED) DESC LIMIT 1
Show the years and the official names of the host cities of competitions.|CREATE TABLE city (Official_Name VARCHAR, City_ID VARCHAR); CREATE TABLE farm_competition (Year VARCHAR, Host_city_ID VARCHAR)|SELECT T2.Year, T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID|SELECT T2.Year, T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID
Show the official names of the cities that have hosted more than one competition.|CREATE TABLE farm_competition (Host_city_ID VARCHAR); CREATE TABLE city (Official_Name VARCHAR, City_ID VARCHAR)|SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*) > 1|SELECT T2.Official_Name FROM farm_competition AS T1 JOIN city AS T2 ON T1.Host_city_ID = T2.City_ID GROUP BY T1.Host_city_ID HAVING COUNT(*) > 1
Show the status of the city that has hosted the greatest number of competitions.|CREATE TABLE city (Status VARCHAR, City_ID VARCHAR); CREATE TABLE farm_competition (Host_city_ID VARCHAR)|SELECT T1.Status FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID GROUP BY T2.Host_city_ID ORDER BY COUNT(*) DESC LIMIT 1|SELECT T1.Status FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID GROUP BY T2.Host_city_ID ORDER BY COUNT(*) DESC LIMIT 1
Please show the themes of competitions with host cities having populations larger than 1000.|CREATE TABLE city (City_ID VARCHAR, Population INTEGER); CREATE TABLE farm_competition (Theme VARCHAR, Host_city_ID VARCHAR)|SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID WHERE T1.Population > 1000|SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID WHERE T1.Population > 1000
Please show the different statuses of cities and the average population of cities with each status.|CREATE TABLE city (Status VARCHAR, Population INTEGER)|SELECT Status, AVG(Population) FROM city GROUP BY Status|SELECT Status, AVG(Population) FROM city GROUP BY Status
Please show the different statuses, ordered by the number of cities that have each.|CREATE TABLE city (Status VARCHAR)|SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*)|SELECT Status, COUNT(*) FROM city GROUP BY Status ORDER BY COUNT(*) DESC
List the most common type of Status across cities.|CREATE TABLE city (Status VARCHAR)|SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) DESC LIMIT 1|SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) DESC LIMIT 1
List the official names of cities that have not held any competition.|CREATE TABLE farm_competition (Official_Name VARCHAR, City_ID VARCHAR, Host_city_ID VARCHAR); CREATE TABLE city (Official_Name VARCHAR, City_ID VARCHAR, Host_city_ID VARCHAR)|SELECT Official_Name FROM city WHERE NOT City_ID IN (SELECT Host_city_ID FROM farm_competition)|SELECT T1.Official_Name FROM city AS T1 LEFT JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID WHERE T2.Host_city_ID IS NULL
Show the status shared by cities with population bigger than 1500 and smaller than 500.|CREATE TABLE city (Status VARCHAR, Population INTEGER)|SELECT Status FROM city WHERE Population > 1500 INTERSECT SELECT Status FROM city WHERE Population < 500|SELECT Status FROM city WHERE Population > 1500 INTERSECT SELECT Status FROM city WHERE Population < 500
Find the official names of cities with population bigger than 1500 or smaller than 500.|CREATE TABLE city (Official_Name VARCHAR, Population VARCHAR)|SELECT Official_Name FROM city WHERE Population > 1500 OR Population < 500|SELECT Official_Name FROM city WHERE CAST(Population AS INTEGER) > 1500 OR CAST(Population AS INTEGER) < 500
"Show the census ranking of cities whose status are not ""Village""."|CREATE TABLE city (Census_Ranking VARCHAR, Status VARCHAR)|"SELECT Census_Ranking FROM city WHERE Status <> ""Village"""|SELECT Census_Ranking FROM city WHERE Status <> 'Village'
which course has most number of registered students?|CREATE TABLE courses (course_name VARCHAR, course_id VARCHAR); CREATE TABLE student_course_registrations (course_Id VARCHAR)|SELECT T1.course_name FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_Id GROUP BY T1.course_id ORDER BY COUNT(*) DESC LIMIT 1|SELECT T1.course_name FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_Id GROUP BY T1.course_name ORDER BY COUNT(*) DESC LIMIT 1
what is id of students who registered some courses but the least number of courses in these students?|CREATE TABLE student_course_registrations (student_id VARCHAR)|SELECT student_id FROM student_course_registrations GROUP BY student_id ORDER BY COUNT(*) LIMIT 1|SELECT student_id FROM student_course_registrations GROUP BY student_id HAVING COUNT(*) = (SELECT MIN(course_count) FROM (SELECT student_id, COUNT(*) AS course_count FROM student_course_registrations GROUP BY student_id) AS T1)
what are the first name and last name of all candidates?|CREATE TABLE candidates (candidate_id VARCHAR); CREATE TABLE people (first_name VARCHAR, last_name VARCHAR, person_id VARCHAR)|SELECT T2.first_name, T2.last_name FROM candidates AS T1 JOIN people AS T2 ON T1.candidate_id = T2.person_id|SELECT T2.first_name, T2.last_name FROM candidates AS T1 JOIN people AS T2 ON T1.candidate_id = T2.person_id
List the id of students who never attends courses?|CREATE TABLE student_course_attendance (student_id VARCHAR); CREATE TABLE students (student_id VARCHAR)|SELECT student_id FROM students WHERE NOT student_id IN (SELECT student_id FROM student_course_attendance)|SELECT T1.student_id FROM students AS T1 LEFT JOIN student_course_attendance AS T2 ON T1.student_id = T2.student_id WHERE T2.student_id IS NULL
List the id of students who attended some courses?|CREATE TABLE student_course_attendance (student_id VARCHAR)|SELECT student_id FROM student_course_attendance|SELECT DISTINCT student_id FROM student_course_attendance
What are the ids of all students for courses and what are the names of those courses?|CREATE TABLE courses (course_name VARCHAR, course_id VARCHAR); CREATE TABLE student_course_registrations (student_id VARCHAR, course_id VARCHAR)|SELECT T1.student_id, T2.course_name FROM student_course_registrations AS T1 JOIN courses AS T2 ON T1.course_id = T2.course_id|SELECT T2.student_id, T1.course_name FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_id
What is detail of the student who most recently registered course?|CREATE TABLE student_course_registrations (student_id VARCHAR, registration_date VARCHAR); CREATE TABLE students (student_details VARCHAR, student_id VARCHAR)|SELECT T2.student_details FROM student_course_registrations AS T1 JOIN students AS T2 ON T1.student_id = T2.student_id ORDER BY T1.registration_date DESC LIMIT 1|SELECT T2.student_details FROM student_course_registrations AS T1 JOIN students AS T2 ON T1.student_id = T2.student_id ORDER BY T1.registration_date DESC LIMIT 1
How many students attend course English?|CREATE TABLE student_course_attendance (course_id VARCHAR); CREATE TABLE courses (course_id VARCHAR, course_name VARCHAR)|"SELECT COUNT(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""English"""|SELECT COUNT(T1.course_id) FROM student_course_attendance AS T1 JOIN courses AS T2 ON T1.course_id = T2.course_id WHERE T2.course_name = 'English'
How many courses do the student whose id is 171 attend?|CREATE TABLE courses (course_id VARCHAR); CREATE TABLE student_course_attendance (course_id VARCHAR, student_id VARCHAR)|SELECT COUNT(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T2.student_id = 171|SELECT COUNT(T1.course_id) FROM student_course_attendance AS T1 WHERE T1.student_id = '171'
Find id of the candidate whose email is stanley.monahan@example.org?|CREATE TABLE candidates (candidate_id VARCHAR); CREATE TABLE people (person_id VARCHAR, email_address VARCHAR)|"SELECT T2.candidate_id FROM people AS T1 JOIN candidates AS T2 ON T1.person_id = T2.candidate_id WHERE T1.email_address = ""stanley.monahan@example.org"""|SELECT T1.candidate_id FROM candidates AS T1 JOIN people AS T2 ON T1.candidate_id = T2.person_id WHERE T2.email_address = 'stanley.monahan@example.org'
Find id of the candidate who most recently accessed the course?|CREATE TABLE candidate_assessments (candidate_id VARCHAR, assessment_date VARCHAR)|SELECT candidate_id FROM candidate_assessments ORDER BY assessment_date DESC LIMIT 1|SELECT candidate_id FROM candidate_assessments ORDER BY assessment_date DESC LIMIT 1
What is detail of the student who registered the most number of courses?|CREATE TABLE students (student_details VARCHAR, student_id VARCHAR); CREATE TABLE student_course_registrations (student_id VARCHAR)|SELECT T1.student_details FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id ORDER BY COUNT(*) DESC LIMIT 1|SELECT T1.student_details FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id ORDER BY COUNT(*) DESC LIMIT 1
List the id of students who registered some courses and the number of their registered courses?|CREATE TABLE students (student_id VARCHAR); CREATE TABLE student_course_registrations (student_id VARCHAR)|SELECT T1.student_id, COUNT(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id|SELECT T1.student_id, COUNT(*) FROM student_course_registrations AS T1 JOIN students AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id
How many registed students do each course have? List course name and the number of their registered students?|CREATE TABLE students (student_id VARCHAR); CREATE TABLE courses (course_name VARCHAR, course_id VARCHAR); CREATE TABLE student_course_registrations (course_id VARCHAR, student_id VARCHAR)|SELECT T3.course_name, COUNT(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON T2.course_id = T3.course_id GROUP BY T2.course_id|SELECT T2.course_name, COUNT(T3.student_id) FROM courses AS T2 JOIN student_course_registrations AS T3 ON T2.course_id = T3.course_id GROUP BY T2.course_name
"Find id of candidates whose assessment code is ""Pass""?"|CREATE TABLE candidate_assessments (candidate_id VARCHAR, asessment_outcome_code VARCHAR)|"SELECT candidate_id FROM candidate_assessments WHERE asessment_outcome_code = ""Pass"""|SELECT candidate_id FROM candidate_assessments WHERE asessment_outcome_code = 'Pass'
"Find the cell mobile number of the candidates whose assessment code is ""Fail""?"|CREATE TABLE candidates (candidate_id VARCHAR); CREATE TABLE people (cell_mobile_number VARCHAR, person_id VARCHAR); CREATE TABLE candidate_assessments (candidate_id VARCHAR, asessment_outcome_code VARCHAR)|"SELECT T3.cell_mobile_number FROM candidates AS T1 JOIN candidate_assessments AS T2 ON T1.candidate_id = T2.candidate_id JOIN people AS T3 ON T1.candidate_id = T3.person_id WHERE T2.asessment_outcome_code = ""Fail"""|SELECT T2.cell_mobile_number FROM candidate_assessments AS T1 JOIN candidates AS T3 ON T1.candidate_id = T3.candidate_id JOIN people AS T2 ON T3.candidate_id = T2.person_id WHERE T1.asessment_outcome_code = 'Fail'
What are the id of students who registered course 301?|CREATE TABLE student_course_attendance (student_id VARCHAR, course_id VARCHAR)|SELECT student_id FROM student_course_attendance WHERE course_id = 301|SELECT student_id FROM student_course_attendance WHERE course_id = '301'
What is the id of the student who most recently registered course 301?|CREATE TABLE student_course_attendance (student_id VARCHAR, course_id VARCHAR, date_of_attendance VARCHAR)|SELECT student_id FROM student_course_attendance WHERE course_id = 301 ORDER BY date_of_attendance DESC LIMIT 1|SELECT student_id FROM student_course_attendance WHERE course_id = '301' ORDER BY date_of_attendance DESC LIMIT 1
Find distinct cities of addresses of people?|CREATE TABLE addresses (city VARCHAR, address_id VARCHAR); CREATE TABLE people_addresses (address_id VARCHAR)|SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id|SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id
Find distinct cities of address of students?|CREATE TABLE students (student_id VARCHAR); CREATE TABLE addresses (city VARCHAR, address_id VARCHAR); CREATE TABLE people_addresses (address_id VARCHAR, person_id VARCHAR)|SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id JOIN students AS T3 ON T2.person_id = T3.student_id|SELECT DISTINCT T2.city FROM students AS T1 JOIN people_addresses AS T3 ON T1.student_id = T3.person_id JOIN addresses AS T2 ON T3.address_id = T2.address_id
List the names of courses in alphabetical order?|CREATE TABLE courses (course_name VARCHAR)|SELECT course_name FROM courses ORDER BY course_name|SELECT course_name FROM courses ORDER BY course_name
List the first names of people in alphabetical order?|CREATE TABLE people (first_name VARCHAR)|SELECT first_name FROM people ORDER BY first_name|SELECT first_name FROM people ORDER BY first_name
What are the id of students who registered courses or attended courses?|CREATE TABLE student_course_attendance (student_id VARCHAR); CREATE TABLE student_course_registrations (student_id VARCHAR)|SELECT student_id FROM student_course_registrations UNION SELECT student_id FROM student_course_attendance|SELECT DISTINCT student_id FROM student_course_registrations UNION SELECT DISTINCT student_id FROM student_course_attendance
Find the id of courses which are registered or attended by student whose id is 121?|CREATE TABLE student_course_attendance (course_id VARCHAR, student_id VARCHAR); CREATE TABLE student_course_registrations (course_id VARCHAR, student_id VARCHAR)|SELECT course_id FROM student_course_registrations WHERE student_id = 121 UNION SELECT course_id FROM student_course_attendance WHERE student_id = 121|SELECT course_id FROM student_course_registrations WHERE student_id = '121' UNION SELECT course_id FROM student_course_attendance WHERE student_id = '121'
What are all info of students who registered courses but not attended courses?|CREATE TABLE student_course_attendance (student_id VARCHAR); CREATE TABLE student_course_registrations (student_id VARCHAR)|SELECT * FROM student_course_registrations WHERE NOT student_id IN (SELECT student_id FROM student_course_attendance)|SELECT T1.student_id FROM student_course_registrations AS T1 LEFT JOIN student_course_attendance AS T2 ON T1.student_id = T2.student_id WHERE T2.student_id IS NULL
List the id of students who registered course statistics in the order of registration date.|CREATE TABLE student_course_registrations (student_id VARCHAR, course_id VARCHAR, registration_date VARCHAR); CREATE TABLE courses (course_id VARCHAR, course_name VARCHAR)|"SELECT T2.student_id FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""statistics"" ORDER BY T2.registration_date"|SELECT T1.student_id FROM student_course_registrations AS T1 JOIN courses AS T2 ON T1.course_id = T2.course_id WHERE T2.course_name = 'statistics' ORDER BY T1.registration_date
List the id of students who attended  statistics courses in the order of attendance date.|CREATE TABLE student_course_attendance (student_id VARCHAR, course_id VARCHAR, date_of_attendance VARCHAR); CREATE TABLE courses (course_id VARCHAR, course_name VARCHAR)|"SELECT T2.student_id FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""statistics"" ORDER BY T2.date_of_attendance"|SELECT T1.student_id FROM student_course_attendance AS T1 JOIN courses AS T2 ON T1.course_id = T2.course_id WHERE T2.course_name = 'statistics' ORDER BY T1.date_of_attendance
Give me the dates when the max temperature was higher than 85.|CREATE TABLE weather (date VARCHAR, max_temperature_f INTEGER)|SELECT date FROM weather WHERE max_temperature_f > 85|SELECT date FROM weather WHERE max_temperature_f > 85
What are the names of stations that have latitude lower than 37.5?|CREATE TABLE station (name VARCHAR, lat INTEGER)|SELECT name FROM station WHERE lat < 37.5|SELECT name FROM station WHERE lat < 37.5
For each city, return the highest latitude among its stations.|CREATE TABLE station (city VARCHAR, lat INTEGER)|SELECT city, MAX(lat) FROM station GROUP BY city|SELECT city, MAX(lat) FROM station GROUP BY city
Give me the start station and end station for the trips with the three oldest id.|CREATE TABLE trip (start_station_name VARCHAR, end_station_name VARCHAR, id VARCHAR)|SELECT start_station_name, end_station_name FROM trip ORDER BY id LIMIT 3|SELECT start_station_name, end_station_name FROM trip ORDER BY id ASC LIMIT 3
What is the average latitude and longitude of stations located in San Jose city?|CREATE TABLE station (lat INTEGER, long INTEGER, city VARCHAR)|"SELECT AVG(lat), AVG(long) FROM station WHERE city = ""San Jose"""|SELECT AVG(lat), AVG(long) FROM station WHERE city = 'San Jose'
What is the id of the trip that has the shortest duration?|CREATE TABLE trip (id VARCHAR, duration VARCHAR)|SELECT id FROM trip ORDER BY duration LIMIT 1|SELECT id FROM trip ORDER BY duration ASC LIMIT 1
What is the total and maximum duration of trips with bike id 636?|CREATE TABLE trip (duration INTEGER, bike_id VARCHAR)|SELECT SUM(duration), MAX(duration) FROM trip WHERE bike_id = 636|SELECT SUM(duration), MAX(duration) FROM trip WHERE bike_id = '636'
For each zip code, return the average mean temperature of August there.|CREATE TABLE weather (zip_code VARCHAR, mean_temperature_f INTEGER, date VARCHAR)|"SELECT zip_code, AVG(mean_temperature_f) FROM weather WHERE date LIKE ""8/%"" GROUP BY zip_code"|SELECT zip_code, AVG(mean_temperature_f) FROM weather WHERE STRFTIME('%m', date) = '08' GROUP BY zip_code
From the trip record, find the number of unique bikes.|CREATE TABLE trip (bike_id VARCHAR)|SELECT COUNT(DISTINCT bike_id) FROM trip|SELECT COUNT(DISTINCT bike_id) FROM trip
What is the number of distinct cities the stations are located at?|CREATE TABLE station (city VARCHAR)|SELECT COUNT(DISTINCT city) FROM station|SELECT COUNT(DISTINCT city) FROM station
How many stations does Mountain View city has?|CREATE TABLE station (city VARCHAR)|"SELECT COUNT(*) FROM station WHERE city = ""Mountain View"""|SELECT COUNT(*) FROM station WHERE city = 'Mountain View'
Return the unique name for stations that have ever had 7 bikes available.|CREATE TABLE station (name VARCHAR, id VARCHAR); CREATE TABLE status (station_id VARCHAR, bikes_available VARCHAR)|SELECT DISTINCT T1.name FROM station AS T1 JOIN status AS T2 ON T1.id = T2.station_id WHERE T2.bikes_available = 7|SELECT DISTINCT T1.name FROM station AS T1 JOIN status AS T2 ON T1.id = T2.station_id WHERE T2.bikes_available = '7'
Which start station had the most trips starting from August? Give me the name and id of the station.|CREATE TABLE trip (start_station_name VARCHAR, start_station_id VARCHAR, start_date VARCHAR)|"SELECT start_station_name, start_station_id FROM trip WHERE start_date LIKE ""8/%"" GROUP BY start_station_name ORDER BY COUNT(*) DESC LIMIT 1"|SELECT start_station_name, start_station_id FROM trip WHERE STRFTIME('%Y-%m', start_date) = '2023-08' GROUP BY start_station_name, start_station_id ORDER BY COUNT(*) DESC LIMIT 1
Which bike traveled the most often in zip code 94002?|CREATE TABLE trip (bike_id VARCHAR, zip_code VARCHAR)|SELECT bike_id FROM trip WHERE zip_code = 94002 GROUP BY bike_id ORDER BY COUNT(*) DESC LIMIT 1|SELECT bike_id FROM trip WHERE zip_code = '94002' GROUP BY bike_id ORDER BY COUNT(*) DESC LIMIT 1
How many days had both mean humidity above 50 and mean visibility above 8?|CREATE TABLE weather (mean_humidity VARCHAR, mean_visibility_miles VARCHAR)|SELECT COUNT(*) FROM weather WHERE mean_humidity > 50 AND mean_visibility_miles > 8|SELECT COUNT(*) FROM weather WHERE CAST(mean_humidity AS INTEGER) > 50 AND CAST(mean_visibility_miles AS INTEGER) > 8
What is the latitude, longitude, city of the station from which the shortest trip started?|CREATE TABLE trip (start_station_id VARCHAR, duration VARCHAR); CREATE TABLE station (lat VARCHAR, long VARCHAR, city VARCHAR, id VARCHAR)|SELECT T1.lat, T1.long, T1.city FROM station AS T1 JOIN trip AS T2 ON T1.id = T2.start_station_id ORDER BY T2.duration LIMIT 1|SELECT T2.lat, T2.long, T2.city FROM trip AS T1 JOIN station AS T2 ON T1.start_station_id = T2.id ORDER BY T1.duration ASC LIMIT 1
What are the ids of stations that are located in San Francisco and have average bike availability above 10.|CREATE TABLE status (id VARCHAR, station_id VARCHAR, city VARCHAR, bikes_available INTEGER); CREATE TABLE station (id VARCHAR, station_id VARCHAR, city VARCHAR, bikes_available INTEGER)|"SELECT id FROM station WHERE city = ""San Francisco"" INTERSECT SELECT station_id FROM status GROUP BY station_id HAVING AVG(bikes_available) > 10"|SELECT id FROM station WHERE city = 'San Francisco' AND bikes_available > 10
What are the names and ids of stations that had more than 14 bikes available on average or were installed in December?|CREATE TABLE station (name VARCHAR, id VARCHAR); CREATE TABLE station (name VARCHAR, id VARCHAR, installation_date VARCHAR); CREATE TABLE status (station_id VARCHAR, bikes_available INTEGER)|"SELECT T1.name, T1.id FROM station AS T1 JOIN status AS T2 ON T1.id = T2.station_id GROUP BY T2.station_id HAVING AVG(T2.bikes_available) > 14 UNION SELECT name, id FROM station WHERE installation_date LIKE ""12/%"""|SELECT T1.name, T1.id FROM station AS T1 JOIN status AS T2 ON T1.id = T2.station_id WHERE T1.id IN (SELECT station_id FROM status GROUP BY station_id HAVING AVG(bikes_available) > 14) OR SUBSTR(T1.installation_date, 6, 2) = '12'
